id,election_id,upper_tier,lower_tier,current_council,election_date,year,ward_id,ward_name,candidate,party,vote,female,vacancies,electorate,ballots_cast,turnout,vote_share,source,notes
leeds_0001,1945leeds1001,Leeds,Leeds,Leeds,,1945,leeds1001,Armley & Wortley,Wilkinson S.,LAB,3477,0,3,11734,,31.9,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
leeds_0002,1945leeds1001,Leeds,Leeds,Leeds,,1945,leeds1001,Armley & Wortley,Bissell J.,LAB,3473,0,3,11734,,31.9,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
leeds_0003,1945leeds1001,Leeds,Leeds,Leeds,,1945,leeds1001,Armley & Wortley,Harlow M.,LAB,3464,0,3,11734,,31.9,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
leeds_0004,1945leeds1001,Leeds,Leeds,Leeds,,1945,leeds1001,Armley & Wortley,Hiley J.,CON,823,0,3,11734,,31.9,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
leeds_0005,1945leeds1002,Leeds,Leeds,Leeds,,1945,leeds1002,Beeston,Webster W.,LAB,4083,0,1,14254,,55.8,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
leeds_0006,1945leeds1002,Leeds,Leeds,Leeds,,1945,leeds1002,Beeston,Moorhouse J.,CON,2995,0,1,14254,,55.8,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
leeds_0007,1945leeds1002,Leeds,Leeds,Leeds,,1945,leeds1002,Beeston,Richardson ,LIB,874,1,1,14254,,55.8,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
leeds_0008,1945leeds1003,Leeds,Leeds,Leeds,,1945,leeds1003,Blenheim,Smith A.,LAB,2206,0,1,19267,,22.7,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
leeds_0009,1945leeds1003,Leeds,Leeds,Leeds,,1945,leeds1003,Blenheim,Webster S.,CON,2163,0,1,19267,,22.7,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
leeds_0010,1945leeds1004,Leeds,Leeds,Leeds,,1945,leeds1004,Bramley,Kavanagh E.,LAB,4960,0,1,18179,,49.1,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
